priority,keyword,volume,kd,cluster,intent,status,slug,title,date_published
1,car service checklist,74000,23,service-checklist,informational,pending,,,
2,car service near me in kakinada,40500,30,local-service,local,pending,,,
3,car ac service near me,22200,22,ac-service,local,pending,,,
4,car wash service near me kakinada,6600,18,car-wash,local,pending,,,
5,car bumper repair near me,4400,21,body-repair,local,published,car-bumper-repair-kakinada,Car Bumper Repair in Kakinada — Dents Cracks and Paint Matching,2026-06-09
6,car dent repair near me,3600,10,body-repair,local,published,car-dent-repair-kakinada,Car Dent Repair in Kakinada — Cost Process and What to Expect,2026-06-09
7,car ac repair near me,3000,20,ac-service,local,published,car-ac-repair-kakinada,Car AC Repair in Kakinada — What Gets Fixed and What It Costs,2026-06-09
8,car tyre puncture repair near me,2900,21,tyres,local,pending,,,
9,car oil change near me,2000,20,engine,local,published,car-oil-change-guide-kakinada,Car Oil Change Guide: Engine Oil Coolant and Brake Fluid,2026-07-16
10,car care summer india,2000,20,seasonal,informational,published,car-care-kakinada-summer,How to Protect Your Car During Kakinada Hot Summer,2026-06-01
11,car battery replacement near me,1500,22,battery,local,published,car-battery-service-kakinada,Car Battery Service in Kakinada: Check Refill or Replace?,2026-07-16
12,ceramic coating cost india,1800,20,detailing,informational,pending,,,
13,car wash kakinada,1200,15,car-wash,local,published,how-often-car-wash-kakinada,How Often Should You Wash Your Car in Kakinada,2026-06-07
14,car scratch repair near me,1200,18,body-repair,local,pending,,,
15,car ac not cooling signs,800,18,ac-service,informational,published,car-ac-service-signs,5 Signs Your Car AC Needs Servicing,2026-06-05
16,wheel alignment kakinada,800,15,suspension,local,pending,,,
17,car brake repair near me,900,18,brakes,local,pending,,,
18,car suspension repair near me,1900,23,suspension,local,published,car-suspension-repair-kakinada,Car Suspension Repair in Kakinada — Signs Causes and What to Do,2026-06-09
19,ceramic coating vs wax india,700,12,detailing,informational,published,ceramic-coating-vs-wax,Ceramic Coating vs Regular Wax Which Is Better for Your Car,2026-06-03
20,car wash service kakinada full guide,600,10,car-wash,local,published,car-wash-service-kakinada,Car Wash and Cleaning Service in Kakinada,2026-06-09
21,car detailing kakinada,300,10,detailing,local,pending,,,
22,car engine service kakinada,300,10,engine,local,published,engine-reboring-when-needed,Engine Reboring: When Your Car Actually Needs It,2026-07-16
23,car audio installation near me,1500,22,accessories,local,pending,,,
24,car interior cleaning kakinada,300,10,car-wash,local,pending,,,
25,paint correction kakinada,200,8,detailing,local,pending,,,
